"ID","SRC_ID","NAME","COUNTRY_CODE","EASTING","NORTHING","HYDROMETRIC_AREA","ELEVATION","GEOG_PATH"
421134,9667,"HAFOD CADWGAN","GB-GBN",285900,290500,54,351,"/BI/UK/GB/WAL/POWN/"
421140,9668,"DOLYDD","GB-GBN",287400,290400,54,297,"/BI/UK/GB/WAL/POWN/"
421152,9669,"ABER BIGA","GB-GBN",288600,289800,54,274,"/BI/UK/GB/WAL/POWN/"
421161,56826,"DOLYDD, NO.2","GB-GBN",287340,290450,54,297,"/BI/UK/GB/WAL/POWY/"
464013,10417,"ESGAIR Y MAEN, LLUGNANT","GB-GBN",281200,285800,55,442,"/BI/UK/GB/WAL/POWN/"
464015,10418,"ESGAIR Y MAEN, LLUGNANT NO 2","GB-GBN",281000,285800,55,488,"/BI/UK/GB/WAL/POWN/"
464019,10419,"WATERSHED","GB-GBN",282700,286500,55,478,"/BI/UK/GB/WAL/POWN/"
464021,10420,"NANT IAGO","GB-GBN",282700,286200,55,397,"/BI/UK/GB/WAL/POWN/"
464029,10421,"ESGAIR Y MAEN","GB-GBN",281100,285500,55,502,"/BI/UK/GB/WAL/POWN/"
464030,10422,"EISTEDDFA GURIG","GB-GBN",280300,285300,55,529,"/BI/UK/GB/WAL/POWN/"
464041,10423,"LLECHWEDD HIRGOED, CEFN-BRWYN","GB-GBN",282600,283900,55,358,"/BI/UK/GB/WAL/POWN/"
464046,10424,"CEFN-BRWYN","GB-GBN",283000,283700,55,343,"/BI/UK/GB/WAL/POWN/"
464054,10425,"MANOD","GB-GBN",284000,282700,55,320,"/BI/UK/GB/WAL/POWN/"
464068,10426,"PLYNLIMON NO 3","GB-GBN",279100,283900,55,488,"/BI/UK/GB/WAL/DYFD/"
464069,10427,"PLYNLIMON","GB-GBN",278900,283700,55,530,"/BI/UK/GB/WAL/DYFD/"
464070,10428,"PLYNLIMON NO 2","GB-GBN",279100,283700,55,512,"/BI/UK/GB/WAL/DYFD/"
464101,10429,"PANT MAWR","GB-GBN",283100,282500,55,335,"/BI/UK/GB/WAL/POWN/"
464108,19009,"PANT MAWR NO 2","GB-GBN",284426,282507,55,310,"/BI/UK/GB/WAL/POWN/"
464109,19009,"PANT MAWR NO 2","GB-GBN",284426,282507,55,310,"/BI/UK/GB/WAL/POWN/"
464114,10430,"CEFN HENDRE","GB-GBN",284300,280400,55,495,"/BI/UK/GB/WAL/POWN/"
464125,10431,"LLANGURIG, TYN-Y-LLECHWEDD","GB-GBN",286000,281300,55,327,"/BI/UK/GB/WAL/POWN/"
464224,10432,"LLANGURIG","GB-GBN",290785,279686,55,273,"/BI/UK/GB/WAL/POWN/"
464225,10432,"LLANGURIG","GB-GBN",290785,279686,55,273,"/BI/UK/GB/WAL/POWN/"
464321,10434,"DERNOL","GB-GBN",291513,274841,55,265,"/BI/UK/GB/WAL/POWN/"
464365,10435,"CWM DERW","GB-GBN",303100,278700,55,404,"/BI/UK/GB/WAL/POWS/"
464432,10436,"PANT-Y-DWR","GB-GBN",299600,275500,55,311,"/BI/UK/GB/WAL/POWS/"
464433,10436,"PANT-Y-DWR","GB-GBN",299600,275500,55,311,"/BI/UK/GB/WAL/POWS/"
464434,62142,"ST HARMON NO 2","GB-GBN",299652,275046,55,291,"/BI/UK/GB/WAL/POWY/"
464435,56041,"NANTGWYN","GB-GBN",297950,276850,55,300,"/BI/UK/GB/WAL/POWY/"
464501,1253,"ST HARMON","GB-GBN",299000,272600,55,279,"/BI/UK/GB/WAL/POWS/"
464563,10438,"MARTEG","GB-GBN",294700,271100,55,226,"/BI/UK/GB/WAL/POWS/"
464606,10439,"RHAYADER, CEFN-FAES","GB-GBN",296700,269300,55,268,"/BI/UK/GB/WAL/POWS/"
464672,10440,"RHAYADER, EAST STREET","GB-GBN",297200,268000,55,213,"/BI/UK/GB/WAL/POWS/"
464675,10441,"RHAYADER S WKS","GB-GBN",297900,267400,55,197,"/BI/UK/GB/WAL/POWS/"
464676,10441,"RHAYADER S WKS","GB-GBN",297900,267400,55,197,"/BI/UK/GB/WAL/POWS/"
464682,10443,"RHAYADER, PENVALLEY","GB-GBN",297100,268300,55,231,"/BI/UK/GB/WAL/POWS/"
464712,10444,"GLAN FEDWEN","GB-GBN",287100,275900,55,419,"/BI/UK/GB/WAL/POWN/"
464720,10445,"BOD-TALOG","GB-GBN",286800,274900,55,381,"/BI/UK/GB/WAL/POWN/"
464729,10446,"GWNGU","GB-GBN",283900,273200,55,454,"/BI/UK/GB/WAL/DYFD/"
464760,10447,"ABERGWNGU","GB-GBN",286900,273400,55,366,"/BI/UK/GB/WAL/DYFD/"
464761,10448,"ABERGWNGU NO 2","GB-GBN",287000,273400,55,362,"/BI/UK/GB/WAL/DYFD/"
464822,10449,"ABERHENLLAN","GB-GBN",289800,271700,55,326,"/BI/UK/GB/WAL/POWS/"
464858,10450,"CALETTWR","GB-GBN",287500,270100,55,454,"/BI/UK/GB/WAL/POWS/"
464882,10451,"ABERCAETHON","GB-GBN",287000,269000,55,360,"/BI/UK/GB/WAL/POWS/"
464923,10452,"TYNANT","GB-GBN",289958,267330,55,311,"/BI/UK/GB/WAL/POWS/"
464924,10452,"TYNANT","GB-GBN",289958,267330,55,311,"/BI/UK/GB/WAL/POWS/"
464939,10453,"PEN-Y-GARREG","GB-GBN",292500,268100,55,466,"/BI/UK/GB/WAL/POWS/"
464940,10454,"PEN-Y-GARREG NO 2","GB-GBN",292600,267700,55,469,"/BI/UK/GB/WAL/POWS/"
464952,10455,"TY N-Y-LLIDIART","GB-GBN",290700,265900,55,307,"/BI/UK/GB/WAL/POWS/"
464991,10456,"GARREG DDU RESR, NANTGWILLT CHURCH","GB-GBN",290900,263900,55,256,"/BI/UK/GB/WAL/POWS/"
464994,10458,"NANTGWILLT VILLAGE","GB-GBN",291300,263700,55,234,"/BI/UK/GB/WAL/POWS/"
465007,10459,"FIGYN","GB-GBN",282800,271500,55,494,"/BI/UK/GB/WAL/POWS/"
465044,10460,"CLAERWEN","GB-GBN",282000,267300,55,381,"/BI/UK/GB/WAL/POWS/"
465050,10461,"CLAERDDU","GB-GBN",279200,268600,55,434,"/BI/UK/GB/WAL/DYFD/"
465098,10462,"BWLCHYRHENDRE","GB-GBN",280700,266400,55,483,"/BI/UK/GB/WAL/DYFD/"
465102,10463,"LLYN GYNON","GB-GBN",280100,265100,55,442,"/BI/UK/GB/WAL/DYFD/"
